gid,pid,seas,week,day,v,h,stad,temp,humd,wspd,wdir,cond,surf,ou,sprv,off,def,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,pts,blk,brcv,fgxp,fkicker,NumKicks,dist,good,ptsv,ptsh,iced,detail,surface,elapsedtime
2241,363706,2008,9,SUN,NYJ,BUF,Ralph Wilson Stadium,49,50,15,E,Sunny,AstroPlay,41.5,5.5,NYJ,BUF,15,3,2,0,22,13,7,1,1,4,15,81,,,,FG,JF-0900,414,37,N,26,17,0,"(:22) J.Feely 37 yard field goal is No Good, Wide Left, Center-J.Dearth, Holder-R.Hodges.",Turf,15.36666667
2241,363722,2008,9,SUN,NYJ,BUF,Ralph Wilson Stadium,49,50,15,E,Sunny,AstroPlay,41.5,5.5,NYJ,BUF,9,2,3,8,57,13,7,3,3,4,2,98,3,,,FG,JF-0900,414,20,Y,26,17,0,"(8:57) J.Feely 20 yard field goal is GOOD, Center-J.Dearth, Holder-R.Hodges.",Turf,38.95
2241,363733,2008,9,SUN,NYJ,BUF,Ralph Wilson Stadium,49,50,15,E,Sunny,AstroPlay,41.5,5.5,BUF,NYJ,9,6,3,3,38,7,16,2,3,4,7,65,3,,,FG,RL-0900,377,53,Y,26,17,0,"(3:38) R.Lindell 53 yard field goal is GOOD, Center-R.Neill, Holder-B.Moorman.",Turf,33.63333333
2241,363751,2008,9,SUN,NYJ,BUF,Ralph Wilson Stadium,49,50,15,E,Sunny,AstroPlay,41.5,5.5,BUF,NYJ,11,4,4,11,9,10,23,2,2,4,21,75,,,,FG,RL-0900,377,43,N,26,17,0,"(11:09) R.Lindell 43 yard field goal is No Good, Wide Left, Center-R.Neill, Holder-B.Moorman.",Turf,56.15
2241,363770,2008,9,SUN,NYJ,BUF,Ralph Wilson Stadium,49,50,15,E,Sunny,AstroPlay,41.5,5.5,NYJ,BUF,14,4,4,2,16,23,17,1,0,4,3,87,3,,,FG,JF-0900,414,31,Y,26,17,0,"(2:16) J.Feely 31 yard field goal is GOOD, Center-J.Dearth, Holder-R.Hodges.",Turf,47.26666667
2242,363838,2008,9,SUN,ARI,STL,Edward Jones Dome,,,,,Dome,AstroTurf,48,-3,ARI,STL,4,4,2,8,13,7,7,3,2,4,5,82,3,,,FG,NR-0100,343,36,Y,34,13,0,"(8:13) N.Rackers 36 yard field goal is GOOD, Center-N.Hodel, Holder-D.Johnson.",Turf,23.21666667
2242,363931,2008,9,SUN,ARI,STL,Edward Jones Dome,,,,,Dome,AstroTurf,48,-3,ARI,STL,12,7,4,3,34,31,13,2,2,4,9,88,3,,,FG,NR-0100,343,30,Y,34,13,0,"(3:34) N.Rackers 30 yard field goal is GOOD, Center-N.Hodel, Holder-D.Johnson.",Turf,48.56666667
2243,363952,2008,9,SUN,DET,CHI,Soldier Field,60,65,9,SSE,Chance Rain,Grass,43,13,CHI,DET,6,3,1,11,19,0,0,3,3,4,9,82,3,,,FG,RG-1500,278,36,Y,23,27,0,"(11:19) R.Gould 36 yard field goal is GOOD, Center-P.Mannelly, Holder-B.Maynard.",Grass,11.31666667
2243,364006,2008,9,SUN,DET,CHI,Soldier Field,60,65,9,SSE,Chance Rain,Grass,43,13,CHI,DET,6,5,2,4,46,10,20,1,2,4,3,77,3,,,FG,RG-1500,278,41,Y,23,27,0,"(4:46) R.Gould 41 yard field goal is GOOD, Center-P.Mannelly, Holder-B.Maynard.",Grass,19.76666667
2243,364016,2008,9,SUN,DET,CHI,Soldier Field,60,65,9,SSE,Chance Rain,Grass,43,13,DET,CHI,9,5,2,1,10,20,13,2,1,4,6,66,3,,,FG,JH-0900,360,52,Y,23,27,0,"(1:10) J.Hanson 52 yard field goal is GOOD, Center-D.Muhlbach, Holder-N.Harris.",Grass,16.16666667
